region,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible,date,date_debut
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 11:30:00,2013-07-26 11:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 12:00:00,2013-07-26 12:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 12:30:00,2013-07-26 12:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 13:00:00,2013-07-26 13:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 13:30:00,2013-07-26 13:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 14:00:00,2013-07-26 14:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 14:30:00,2013-07-26 14:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 15:00:00,2013-07-26 15:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 15:30:00,2013-07-26 15:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 16:00:00,2013-07-26 16:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 16:30:00,2013-07-26 16:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 17:00:00,2013-07-26 17:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 17:30:00,2013-07-26 17:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 18:00:00,2013-07-26 18:00:00
PROVENCE ALPES COTE D AZUR,thermique,17W100P100P0009R,595.0,0.0,595.0,2013-07-24 01:00:00,2013-07-24 01:00:00
PROVENCE ALPES COTE D AZUR,thermique,17W100P100P0009R,595.0,0.0,595.0,2013-07-24 01:30:00,2013-07-24 01:30:00
