region,date_heure,annee,jour_numero,heure,jour_fractionnel,thermique,nucleaire,eolien,solaire,hydraulique,bioenergies,pompage,ech_physiques,stockage_batterie,destockage_batterie,cap_prod_max_thermique,thermique_p_disp,cap_prod_max_nucleaire,nucleaire_p_disp,eolien_p_disp,solaire_p_disp,cap_prod_max_hydraulique,hydraulique_p_disp,cap_prod_max_bioenergies,bioenergies_p_disp,population
OCCITANIE,2016-01-10 01:30:00,2016,10,01:30:00,10.06,61.0,1637.0,85.0,0.0,949.0,94.0,-628.0,2204.0,0.0,0.0,266.0,0.0,2620.0,2620.0,1098.0,1497.0,5460.0,5340.0,137.0,137.0,5808435
GRAND EST,2015-04-16 18:30:00,2015,106,18:30:00,106.77,945.0,5739.0,173.0,44.0,928.0,78.0,0.0,-2919.0,0.0,0.0,3420.0,3160.0,10820.0,9560.0,2376.0,524.0,2284.0,2082.0,109.0,109.0,5559051
PROVENCE ALPES COTE D AZUR,2018-02-27 15:30:00,2018,58,15:30:00,58.65,1512.0,0.0,21.0,343.0,1823.0,76.0,0.0,3578.0,0.0,0.0,2663.0,2267.0,0.0,0.0,48.0,1224.0,3227.0,3227.0,357.0,357.0,5052832
OCCITANIE,2022-03-12 03:30:00,2022,71,03:30:00,71.15,25.0,1274.0,921.0,0.0,654.0,94.0,-472.0,1709.0,0.0,0.0,326.0,326.0,2620.0,1310.0,1593.0,2838.0,5502.0,5467.0,174.0,174.0,6067101
BRETAGNE,2021-12-14 14:30:00,2021,348,14:30:00,348.6,635.0,0.0,4.0,30.0,11.0,51.0,-1.0,2700.0,0.0,0.0,1428.0,982.0,0.0,0.0,1135.0,352.0,272.0,272.0,82.0,82.0,3394567
NOUVELLE AQUITAINE,2021-02-11 05:00:00,2021,42,05:00:00,42.21,216.0,5269.0,274.0,0.0,1129.0,175.0,0.0,-1082.0,0.0,0.0,577.0,577.0,6630.0,5135.0,1206.0,2929.0,1783.0,1783.0,353.0,353.0,6069352
OCCITANIE,2020-12-30 20:30:00,2020,365,20:30:00,365.85,91.0,2589.0,338.0,0.0,1727.0,65.0,-8.0,1590.0,0.0,0.0,318.0,318.0,2620.0,1310.0,1593.0,2364.0,5498.0,5267.0,172.0,172.0,5973969
HAUTS DE FRANCE,2014-06-28 12:30:00,2014,179,12:30:00,179.52,214.0,2506.0,15.0,41.0,1.0,84.0,0.0,2149.0,0.0,0.0,2289.0,2289.0,5460.0,4550.0,2328.0,211.0,5.0,5.0,139.0,139.0,6006156
PROVENCE ALPES COTE D AZUR,2013-12-07 04:00:00,2013,341,04:00:00,341.17,339.0,0.0,40.0,0.0,786.0,53.0,0.0,4184.0,0.0,0.0,2592.0,2318.0,0.0,0.0,45.0,781.0,3160.0,3160.0,151.0,151.0,4953675
CENTRE VAL DE LOIRE,2021-09-08 15:30:00,2021,251,15:30:00,251.65,0.0,8816.0,164.0,164.0,9.0,59.0,0.0,-7301.0,0.0,0.0,229.0,229.0,11630.0,10740.0,1360.0,598.0,92.0,92.0,89.0,89.0,2573303
GRAND EST,2020-01-01 11:00:00,2020,1,11:00:00,1.46,489.0,11786.0,169.0,44.0,905.0,120.0,-504.0,-7741.0,0.0,0.0,3534.0,3534.0,10820.0,10137.0,3567.0,608.0,2303.0,2089.0,178.0,178.0,5562651
NOUVELLE AQUITAINE,2019-09-14 19:30:00,2019,257,19:30:00,257.81,20.0,5658.0,57.0,128.0,156.0,185.0,0.0,-2231.0,0.0,0.0,538.0,538.0,6630.0,5720.0,1017.0,2572.0,1782.0,1677.0,319.0,319.0,6010289
PROVENCE ALPES COTE D AZUR,2013-02-28 11:00:00,2013,59,11:00:00,59.46,2133.0,0.0,2.0,283.0,1921.0,44.0,0.0,2008.0,0.0,0.0,2590.0,2528.0,0.0,0.0,45.0,671.0,3158.0,3158.0,149.0,149.0,4953675
OCCITANIE,2016-05-30 00:30:00,2016,151,00:30:00,151.02,-2.0,1139.0,366.0,0.0,1520.0,73.0,-162.0,415.0,0.0,0.0,266.0,266.0,2620.0,1310.0,1098.0,1577.0,5462.0,5235.0,139.0,139.0,5808435
CENTRE VAL DE LOIRE,2016-06-14 11:00:00,2016,166,11:00:00,166.46,0.0,6914.0,215.0,89.0,35.0,52.0,0.0,-5362.0,0.0,0.0,170.0,170.0,11630.0,10985.0,874.0,250.0,91.0,91.0,71.0,71.0,2577866
BRETAGNE,2019-04-28 00:00:00,2019,118,00:00:00,118.0,1.0,0.0,262.0,0.0,5.0,50.0,-1.0,2469.0,0.0,0.0,956.0,871.0,0.0,0.0,1004.0,264.0,270.0,270.0,72.0,72.0,3354854
AUVERGNE RHONE ALPES,2017-10-28 02:30:00,2017,301,02:30:00,301.1,459.0,5962.0,201.0,0.0,971.0,110.0,-746.0,-587.0,0.0,0.0,992.0,992.0,13570.0,12647.0,548.0,973.0,11246.0,11029.0,178.0,178.0,7948287
GRAND EST,2018-11-08 09:00:00,2018,312,09:00:00,312.38,2481.0,11088.0,113.0,95.0,539.0,94.0,0.0,-8310.0,0.0,0.0,3527.0,2932.0,10820.0,9749.0,3207.0,560.0,2301.0,2006.0,161.0,161.0,5550389
PAYS DE LA LOIRE,2019-10-05 04:00:00,2019,278,04:00:00,278.17,195.0,0.0,171.0,0.0,0.0,47.0,0.0,1462.0,0.0,0.0,2037.0,2037.0,0.0,0.0,926.0,600.0,10.0,10.0,75.0,75.0,3806461
